ra,dec,rMeanPSFMag
149.74730090,44.67547518,-999.000
149.75583015,44.67974445,-999.000
149.75886457,44.68029537,-999.000
149.75945562,44.67585442,-999.000
149.76254940,44.67755717,-999.000
149.76743854,44.68226646,-999.000
149.76990719,44.67878046,-999.000
149.77149442,44.68031459,-999.000
149.77255518,44.68144812,-999.000
149.77289899,44.67684178,-999.000
149.27423014,44.83963504,-999.000
149.27458283,44.83887368,-999.000
149.28370631,44.83853633,-999.000
149.29999043,44.84074544,-999.000
149.30031700,44.83707925,-999.000
149.31263088,44.83905745,-999.000
149.31310282,44.83834170,-999.000
150.71638671,44.96007406,-999.000
150.71940166,44.96290352,-999.000
150.72420776,44.96445260,-999.000
150.72813454,44.96326914,-999.000
150.72989713,44.96535350,-999.000
150.73107602,44.96203634,-999.000
150.73257916,44.96562876,-999.000
150.73405405,44.96238886,-999.000
150.73436532,44.96368799,-999.000
150.73894171,44.96369610,-999.000
150.74174607,44.95906229,-999.000
150.74295074,44.95816251,-999.000
150.74319511,44.96220482,-999.000
150.74786750,44.95875065,-999.000
150.75050883,44.96189743,-999.000
150.75191407,44.96601479,-999.000
149.61943189,44.50761742,-999.000
149.62031603,44.50566322,-999.000
149.64818589,44.50006759,-999.000
149.66968337,44.50402197,-999.000
149.67539731,44.50419228,-999.000
150.23797095,44.67886408,-999.000
150.25312779,44.67440251,-999.000
150.27481240,44.68180650,-999.000
150.27526332,44.67719200,-999.000
150.27571564,44.67726100,-999.000
150.27578704,44.67519955,-999.000
149.78188488,44.84027309,-999.000
149.78207474,44.84088907,-999.000
149.78431708,44.83652373,-999.000
149.81510398,44.83407942,-999.000
149.81737973,44.83896216,-999.000
149.82637654,44.83581324,-999.000
149.63717449,44.96950617,-999.000
149.63558307,44.97004888,-999.000
149.63429908,44.97344549,-999.000
149.63089914,44.96713358,-999.000
149.63055557,44.97177701,-999.000
149.62769768,44.97250287,-999.000
149.62715368,44.96693422,-999.000
149.62584630,44.97175407,-999.000
149.62432677,44.96620243,-999.000
149.60205620,44.96806953,-999.000
149.59707948,44.97211449,-999.000
149.59436678,44.97175066,-999.000
149.59156101,44.96981589,-999.000
150.26458174,45.11044630,-999.000
150.27940966,45.10853230,-999.000
150.28298103,45.11510271,-999.000
150.30354146,45.11123514,-999.000
150.30753769,45.10950095,-999.000
150.31154371,45.11364424,-999.000
150.31370897,45.11522046,-999.000
149.80836939,45.26381817,-999.000
149.80896223,45.26368709,-999.000
149.81381930,45.26192690,-999.000
149.81528096,45.26114361,-999.000
149.81728527,45.26018635,-999.000
149.82165774,45.25784876,-999.000
149.82672465,45.26214262,-999.000
149.84170542,45.25968705,-999.000
149.84218755,45.26520773,-999.000
149.84882658,45.26121484,-999.000
149.85241661,45.26378686,-999.000
149.84109213,45.41951177,-999.000
149.84986751,45.42402064,-999.000
149.85003674,45.42168402,-999.000
149.85496095,45.41907818,-999.000
149.86435269,45.42016435,-999.000
149.86532809,45.41614837,-999.000
149.87617520,45.41689403,-999.000
149.88189757,45.41648186,-999.000
149.88783869,45.42432585,-999.000
149.89015594,45.42148560,-999.000
150.12937477,44.53788886,-999.000
150.13455871,44.53860474,-999.000
150.14075175,44.53937822,-999.000
150.16246236,44.53806155,-999.000
150.17085189,44.53402516,-999.000
150.17406360,44.53972875,-999.000
150.17769700,44.53938426,-999.000
150.18047036,44.53435507,-999.000
150.19276392,44.53947164,-999.000
149.25027329,45.05359445,-999.000
149.25046827,45.05383823,-999.000
149.25110356,45.05359210,-999.000
149.25732553,45.05645599,-999.000
149.25780730,45.05634842,-999.000
149.25770154,45.05061473,-999.000
149.25967152,45.05689772,-999.000
149.26336008,45.04949113,-999.000
149.26679307,45.05657619,-999.000
149.26748301,45.05659815,-999.000
149.27005111,45.05729964,-999.000
149.27291534,45.05120743,-999.000
149.55533862,45.19262353,-999.000
149.55679042,45.19698574,-999.000
149.55707474,45.19752248,14.036
149.55732847,45.19675313,-999.000
149.55775425,45.19770039,-999.000
149.55816718,45.19481500,-999.000
149.55832211,45.19142555,-999.000
149.93548956,45.19650333,10.032
149.93556662,45.19736701,-999.000
149.93581043,45.19630524,-999.000
149.93573945,45.19515273,-999.000
149.93568531,45.19730385,14.220
149.93617834,45.19670500,14.082
149.93620058,45.19783121,15.498
149.93666501,45.19879783,-999.000
149.93667922,45.19745536,14.901
149.93776970,45.19639749,-999.000
149.93814451,45.19928074,-999.000
149.94047874,45.19361042,-999.000
149.94168731,45.19203806,-999.000
149.94220714,45.19233274,-999.000
149.94409113,45.19924922,-999.000
149.38151316,45.35741768,-999.000
149.38517642,45.35345777,-999.000
149.39483979,45.35641758,-999.000
149.39798329,45.35302227,-999.000
149.40024465,45.35765773,-999.000
149.40282944,45.34980217,-999.000
149.84638815,45.35589232,-999.000
149.83808587,45.35687570,-999.000
149.83557645,45.35749492,-999.000
149.83323950,45.35687448,-999.000
149.80239601,45.55528711,-999.000
149.80314318,45.55273255,-999.000
149.80811502,45.55388592,-999.000
149.81082574,45.55348244,-999.000
149.81563261,45.55373318,-999.000
149.81790153,45.55770680,-999.000
149.81916501,45.55663454,-999.000
149.82019141,45.55398039,-999.000
150.06610271,45.55290518,-999.000
150.06055444,45.55440233,-999.000
150.03409903,44.62837007,15.035
150.07330953,44.62611902,-999.000
150.07332754,44.62892757,-999.000
150.07849273,44.63035831,-999.000
150.40607186,44.78576558,-999.000
150.41204034,44.78477608,-999.000
150.41680820,44.78389763,-999.000
150.42513157,44.78984420,-999.000
150.42699163,44.78573532,-999.000
149.23868173,44.93055040,-999.000
149.23800801,44.92492930,-999.000
149.22987707,44.92625916,-999.000
149.22776023,44.92602051,-999.000
149.22681189,44.92467203,-999.000
149.21780071,44.92967164,-999.000
149.20989310,44.92652985,-999.000
149.20659478,44.92703485,-999.000
149.20280547,44.92536714,-999.000
149.20172867,44.92555830,-999.000
149.19970653,44.92876263,-999.000
149.19642852,44.92748478,-999.000
149.66803564,45.07057825,-999.000
149.67450918,45.06641057,-999.000
149.69479200,45.06880980,-999.000
149.69625993,45.07233517,-999.000
149.71029671,45.06787234,-999.000
149.71922219,45.07022249,-999.000
150.19983945,45.21166155,-999.000
150.20532150,45.21129904,15.224
150.23277969,45.20828269,-999.000
150.24894903,45.21069055,-999.000
150.26562432,45.21576428,-999.000
150.12818640,45.55342181,-999.000
150.11519182,45.55318029,-999.000
150.09906996,45.55278462,-999.000
150.08695855,45.55362176,-999.000
150.07862978,45.55477907,-999.000
150.42349267,44.63234965,-999.000
150.43420380,44.63002514,-999.000
150.46046713,44.63034600,-999.000
150.46589188,44.63263789,-999.000
150.46622319,44.62677775,-999.000
150.46618466,44.63063771,-999.000
150.71178695,44.79110412,-999.000
150.74561005,44.78469717,-999.000
150.74942987,44.78513032,-999.000
150.76175533,44.78844310,14.916
149.69907567,44.93188551,-999.000
149.71379769,44.92647112,-999.000
149.72445773,44.92829527,-999.000
150.10870129,45.07104451,-999.000
150.12540765,45.07149603,-999.000
150.13136109,45.07086227,-999.000
150.13352604,45.07395901,-999.000
150.13462792,45.07364576,-999.000
150.13903917,45.06762331,-999.000
150.18437062,45.20855488,-999.000
150.19182427,45.21470500,-999.000
150.19204745,45.21285808,-999.000
150.60877341,45.21172260,-999.000
150.61087947,45.21140177,-999.000
150.61175783,45.21561766,-999.000
150.63154795,45.21140616,15.875
150.63173364,45.21063331,-999.000
150.44736146,45.37053867,-999.000
150.44740037,45.37053218,-999.000
150.44809967,45.37082384,-999.000
149.49224700,45.38195756,-999.000
150.11534460,44.44462734,-999.000
150.11610754,44.44597952,-999.000
150.12239455,44.44142543,-999.000
150.12240704,44.44142348,-999.000
150.12759440,44.44506228,-999.000
150.13230699,44.44929651,-999.000
150.14984008,44.44473367,-999.000
150.15117762,44.44507805,-999.000
149.96928291,44.45131022,-999.000
149.97114882,44.45093782,-999.000
149.97223103,44.45517959,-999.000
149.97637171,44.45067980,-999.000
149.97714738,44.45164566,-999.000
149.97888815,44.45413133,-999.000
149.52970989,44.65112147,-999.000
149.53952755,44.65158090,-999.000
149.55537868,44.65503173,-999.000
149.55642398,44.65520836,-999.000
149.56396604,44.65230566,-999.000
149.57615232,44.65564213,-999.000
150.29852124,44.49699191,-999.000
150.30321030,44.49432152,-999.000
150.30635864,44.49508220,-999.000
150.33468781,44.49128860,-999.000
150.33914686,44.49114874,-999.000
150.34042409,44.49310494,-999.000
150.34120275,44.49932569,-999.000
150.07329569,44.68041174,-999.000
150.09022457,44.68066502,-999.000
150.09113750,44.67908300,-999.000
149.65114889,44.83641819,-999.000
149.65312506,44.83453143,-999.000
149.65402200,44.83505226,13.943
149.65418678,44.83734261,-999.000
149.65515734,44.83417344,-999.000
149.65543423,44.83606351,-999.000
149.65613410,44.83569311,-999.000
149.65997083,44.83426197,-999.000
149.66141297,44.83820075,-999.000
149.66203781,44.83575217,-999.000
149.66279768,44.83713195,-999.000
149.67072489,44.83673085,-999.000
149.67089040,44.83362145,-999.000
149.39588871,44.96680738,-999.000
149.41396483,44.96893859,-999.000
150.15502818,45.10890309,-999.000
150.17446951,45.11257095,-999.000
149.68671825,45.25902245,-999.000
149.68883653,45.26483425,-999.000
149.69407500,45.26577863,-999.000
149.69585357,45.26184247,-999.000
149.70245982,45.26070140,-999.000
149.70749605,45.26102165,-999.000
149.70817273,45.26332113,-999.000
149.71110092,45.25925803,-999.000
149.71233049,45.26020978,-999.000
149.71376920,45.26072988,-999.000
149.71459758,45.26283186,-999.000
149.71580402,45.25941349,-999.000
149.71794752,45.25847689,-999.000
149.71817384,45.26332568,-999.000
149.66585143,45.42272390,-999.000
149.66804736,45.42132661,-999.000
149.66865615,45.42298817,-999.000
149.67100087,45.42018771,-999.000
149.70052105,45.42013242,-999.000
149.70184655,45.41795456,-999.000
149.71082933,45.42295027,14.985
150.02554815,44.53532466,-999.000
150.02590191,44.53639831,-999.000
150.02709087,44.53304647,-999.000
150.02911356,44.53460993,-999.000
150.02920685,44.53832756,-999.000
149.67119905,45.30061076,-999.000
149.67149285,45.30261727,-999.000
149.67257138,45.30238829,-999.000
149.67285251,45.30217433,-999.000
149.67395910,45.29975896,-999.000
149.67487352,45.30144633,-999.000
149.67656063,45.30084679,-999.000
149.67881783,45.30021311,-999.000
149.68035343,45.29947633,-999.000
149.68268399,45.30044660,-999.000
149.68390795,45.30186815,-999.000
149.71321045,45.46780793,-999.000
149.71379849,45.47410852,-999.000
149.71734362,45.47236633,-999.000
149.71797148,45.47173956,-999.000
149.74872005,45.46953786,-999.000
149.74958678,45.47240762,-999.000
150.43434818,44.59996517,-999.000
150.44902609,44.60209695,-999.000
150.45408227,44.60287556,-999.000
150.47010521,44.60493343,-999.000
150.47059665,44.60165253,-999.000
150.63488857,44.76544196,-999.000
150.63587361,44.76325641,-999.000
150.63731679,44.76435735,-999.000
150.63747981,44.75968696,-999.000
150.64842847,44.76455539,-999.000
150.65278972,44.75930020,-999.000
149.91844114,44.90258692,-999.000
149.92134631,44.90459654,-999.000
149.92281202,44.90576796,-999.000
149.92488095,44.90588477,-999.000
149.92538432,44.90615640,-999.000
149.92834342,44.90673217,-999.000
149.92887673,44.90700049,-999.000
149.92948134,44.90669809,-999.000
149.93452005,44.90743588,-999.000
149.93488753,44.90744542,-999.000
149.94822502,44.90448585,-999.000
149.89043602,45.04527099,-999.000
149.91830607,45.04285353,-999.000
150.33910549,45.17385701,-999.000
150.49215204,45.18953166,-999.000
150.49506421,45.18756804,-999.000
150.49910467,45.18535100,-999.000
150.50043913,45.19062755,-999.000
150.50339340,45.18293586,-999.000
149.61692252,45.28632699,-999.000
149.61723844,45.29108524,-999.000
149.61884202,45.28915222,-999.000
149.61968471,45.29029857,-999.000
149.62097673,45.28413159,-999.000
150.17896363,45.30721009,-999.000
150.19203005,45.30270539,-999.000
150.19386190,45.30719748,-999.000
150.19634543,45.30575195,-999.000
150.11280950,45.44515678,-999.000
150.11405477,45.44708009,-999.000
150.12495199,45.44809393,-999.000
150.12623592,45.44794446,-999.000
149.32159621,44.71606081,-999.000
149.32248120,44.71414566,-999.000
149.32606752,44.70941493,-999.000
149.33630055,44.71565821,-999.000
149.33775030,44.71546825,-999.000
149.34085587,44.71268980,-999.000
149.34940841,44.71523914,-999.000
149.37229225,44.70813841,-999.000
149.79839171,44.86439081,-999.000
149.79864828,44.86140254,-999.000
149.79941923,44.86350054,-999.000
149.80686551,44.86575744,-999.000
149.80926323,44.86195195,-999.000
149.81584957,44.85957201,-999.000
149.81635031,44.85879624,-999.000
149.82108366,44.86583595,-999.000
149.82137637,44.86330903,-999.000
149.55241831,44.99297950,-999.000
149.55401196,44.99358747,-999.000
149.58406037,44.99698977,-999.000
149.58872331,44.99768542,-999.000
149.84142376,45.13876909,-999.000
149.84271631,45.14055930,-999.000
149.84472783,45.13946308,-999.000
149.84589416,45.13890224,-999.000
149.84779519,45.13795189,-999.000
149.85219832,45.13800414,-999.000
149.85482004,45.13513113,-999.000
149.85534785,45.13818403,-999.000
149.85557386,45.13595257,-999.000
149.85580449,45.13990136,-999.000
149.85773204,45.13277827,-999.000
149.86050325,45.13754217,-999.000
149.86232931,45.13950170,-999.000
149.86939379,45.13733229,-999.000
149.87456111,45.13372487,-999.000
149.87985299,45.13309727,-999.000
149.89532726,45.28807492,-999.000
149.89603793,45.28768618,-999.000
149.89655828,45.28966694,-999.000
149.89717060,45.28942674,-999.000
149.90650709,45.28995705,-999.000
149.91265788,45.28786203,-999.000
149.91516520,45.28521549,-999.000
149.92703310,45.28586068,-999.000
149.92883553,45.28284312,-999.000
149.93378051,45.28630111,-999.000
149.93442611,45.28307084,-999.000
149.94048369,45.29105571,-999.000
149.94178595,45.28701821,-999.000
150.32146665,45.44215044,-999.000
150.32690639,45.44828157,15.761
150.33069475,45.44917463,-999.000
149.49455521,44.56999820,-999.000
149.49779786,44.56826661,-999.000
149.49991560,44.57109245,-999.000
149.50432713,44.56793286,-999.000
149.50641303,44.57230471,-999.000
149.50866924,44.56889671,-999.000
149.51495556,44.57174062,-999.000
149.52017427,44.57057543,-999.000
150.44479729,44.73052983,-999.000
150.45041981,44.72906485,-999.000
150.45103831,44.72618606,-999.000
150.48171332,44.72533930,-999.000
150.48479649,44.73199640,-999.000
150.49226011,44.72466230,-999.000
150.49933413,44.72605526,-999.000
150.49939384,44.72740011,-999.000
150.49953994,44.73078094,-999.000
150.50179963,44.72451586,-999.000
149.78235435,45.04984285,13.635
149.82073351,45.05476427,-999.000
149.83241154,45.05357382,-999.000
149.83313037,45.05585312,-999.000
150.39473276,45.19501053,-999.000
150.39707846,45.19460730,-999.000
150.39945654,45.19712655,-999.000
150.40451944,45.19639679,-999.000
150.43772127,45.19696229,-999.000
150.42226260,45.19444195,-999.000
150.42427599,45.19274116,-999.000
150.30110187,45.35516027,-999.000
150.30548408,45.35357721,-999.000
150.31227461,45.35033209,-999.000
150.31593079,45.35223090,-999.000
150.31899272,45.35120617,-999.000
150.31957942,45.35162920,-999.000
150.32013009,45.35716319,-999.000
150.32148307,45.35014905,-999.000
150.32787815,45.35284053,-999.000
150.33009554,45.35560097,-999.000
150.33084553,45.35048137,-999.000
149.82417250,45.56716907,-999.000
149.83820943,45.56844303,-999.000
149.84033073,45.56950948,-999.000
149.85323381,45.56885912,-999.000
149.86687049,45.56851227,-999.000
149.86842362,45.56921918,-999.000
149.86881558,45.56924882,-999.000
149.86987694,45.57178617,-999.000
149.67578278,44.63924183,-999.000
149.68696989,44.63489268,-999.000
149.70448173,44.63940712,-999.000
149.71395753,44.63292492,-999.000
149.71423985,44.79487987,-999.000
149.71631321,44.79644187,-999.000
149.74587559,44.79201669,-999.000
149.72187986,44.79548788,-999.000
149.73161502,44.79704307,-999.000
149.75175554,44.79640302,-999.000
150.04389019,44.79682248,-999.000
150.04790102,44.79398715,-999.000
150.04976801,44.79279043,-999.000
150.06599823,44.79205075,-999.000
150.22546616,44.92941788,-999.000
150.22551486,44.93214285,-999.000
150.22918884,44.92850942,-999.000
150.22942034,44.92892049,-999.000
150.23253798,44.93040805,-999.000
150.23288401,44.93036504,-999.000
150.23631296,44.92709452,-999.000
150.23648974,44.92473389,-999.000
150.68297561,44.93034617,-999.000
150.68603692,44.92441135,-999.000
150.58260459,45.07335881,-999.000
150.58440699,45.07091022,-999.000
150.58661476,45.07308479,-999.000
150.59063800,45.06645253,-999.000
149.83854233,45.11073808,-999.000
149.84889763,45.10846755,-999.000
149.85729129,45.11553806,-999.000
149.32544754,45.26326863,-999.000
149.32554765,45.26346136,-999.000
149.35082165,45.26470671,-999.000
149.35185268,45.25807564,-999.000
149.35230232,45.25812166,-999.000
149.35818884,45.25955107,-999.000
149.37027097,45.26452391,-999.000
149.48874800,45.41885242,-999.000
149.48922578,45.42329798,-999.000
149.48958012,45.42055473,-999.000
149.49062290,45.42064658,-999.000
149.49070211,45.42237120,-999.000
149.49115904,45.42004369,-999.000
149.49217672,45.41661721,-999.000
149.49192761,45.41605353,-999.000
149.49307376,45.42241442,-999.000
149.49363244,45.41879394,-999.000
149.49395904,45.41633436,-999.000
149.49475241,45.42068938,-999.000
149.49523107,45.41824101,-999.000
149.49545319,45.41690210,-999.000
149.49572873,45.42046300,-999.000
149.49658454,45.41649015,-999.000
149.49733754,45.42319719,-999.000
149.49760820,45.41727535,-999.000
149.49784600,45.42118376,-999.000
149.50032961,45.41928113,-999.000
150.36756217,44.55431366,-999.000
150.37155874,44.55030252,-999.000
150.37340289,44.54990273,-999.000
150.37388039,44.54975262,-999.000
150.37667514,44.55707634,-999.000
150.37718434,44.55019617,-999.000
150.37968745,44.55664897,-999.000
150.38230717,44.55378508,-999.000
150.38340826,44.54967167,-999.000
150.38511777,44.55213632,-999.000
150.38718021,44.55199183,-999.000
150.38744680,44.55144178,-999.000
150.40588614,44.55086429,-999.000
150.40684097,44.55106168,-999.000
150.40695544,44.55467428,-999.000
150.52252555,44.71946519,-999.000
150.56728760,44.72431874,-999.000
150.58000626,44.71968627,-999.000
150.58657456,44.72259277,-999.000
150.32987162,44.86927611,-999.000
150.33263584,44.87422122,-999.000
150.33774117,44.87241495,-999.000
150.36326408,44.86962748,-999.000
150.37418779,44.87127892,-999.000
150.37421217,44.86998382,-999.000
150.37605999,44.87330464,-999.000
150.37946059,44.87091002,-999.000
150.41402379,45.00254843,-999.000
150.42456192,45.00159399,-999.000
150.43110414,45.00221394,-999.000
150.43158119,45.00181725,-999.000
150.43424471,45.00456121,-999.000
150.43579599,45.00441748,-999.000
150.43840999,45.00368697,-999.000
150.43859129,45.00160596,-999.000
150.44057736,45.00659083,-999.000
150.44183405,45.00160630,-999.000
149.42158752,45.15308956,-999.000
149.42395972,45.15706817,-999.000
149.42735884,45.15490272,-999.000
149.43005587,45.15220551,-999.000
149.47635940,45.15572327,-999.000
149.62517003,44.70793958,-999.000
150.06814627,44.86450176,-999.000
150.11146564,44.86459924,-999.000
150.11180538,44.86273205,-999.000
150.12893233,44.86452074,-999.000
150.12945339,44.86142682,-999.000
149.82811171,44.99450216,-999.000
149.83253976,44.99849216,-999.000
149.84213096,44.99825371,-999.000
149.84238074,44.99734184,-999.000
149.84893556,44.99658311,-999.000
149.84946800,44.99650191,-999.000
149.85319426,44.99540186,-999.000
149.86153405,44.99434455,-999.000
150.15105784,45.13947457,-999.000
150.15398356,45.13973785,-999.000
150.17049252,45.13517200,-999.000
150.18826668,45.13742542,-999.000
150.18859027,45.13597689,-999.000
150.20367543,45.13434697,-999.000
150.15656910,45.28360989,-999.000
150.15742932,45.28329022,-999.000
150.16038327,45.28366933,-999.000
150.16465342,45.28450936,-999.000
150.17167390,45.28351886,-999.000
150.18177462,45.28354359,-999.000
150.18469564,45.28625371,-999.000
150.19458422,45.28320130,-999.000
150.19925051,45.28991451,-999.000
150.52026002,45.44734474,-999.000
150.52402163,45.44563204,-999.000
150.52554205,45.44142756,-999.000
150.52949186,45.44599863,-999.000
150.53557733,45.44460527,-999.000
149.47959958,45.45280661,-999.000
149.48011621,45.45356805,-999.000
149.48113968,45.44983223,-999.000
149.50252474,45.45374951,-999.000
150.47630118,44.56342673,-999.000
150.47682356,44.55994775,-999.000
150.47859062,44.56529218,-999.000
150.48050025,44.56398023,-999.000
149.69797740,44.57150783,-999.000
149.71294574,44.57080537,-999.000
149.71346193,44.56795599,-999.000
149.71672338,44.56632568,-999.000
149.71937069,44.57271094,-999.000
150.28152695,44.73094497,-999.000
150.28989377,44.73114396,-999.000
150.29225181,44.72591901,-999.000
149.29718975,44.73888828,-999.000
149.29778519,44.73519872,-999.000
149.30934323,44.73870571,-999.000
149.54338027,44.87921911,-999.000
149.54359606,44.88198103,-999.000
149.54394187,44.87542516,-999.000
149.54358401,44.87473886,-999.000
149.54394479,44.87911783,-999.000
149.54422601,44.87439497,-999.000
149.54458262,44.87817664,-999.000
149.54507940,44.87540663,-999.000
149.54548998,44.87709596,-999.000
149.54569715,44.87823824,-999.000
150.45848377,45.37150487,-999.000
150.45896401,45.36875226,-999.000
150.45921733,45.37241908,-999.000
150.46561874,45.37021373,-999.000
150.46555610,45.36800678,-999.000
150.46707260,45.37040405,-999.000
150.46755066,45.36881828,-999.000
150.47109731,45.36882424,-999.000
150.47426157,45.36883768,-999.000
150.48639067,45.37375195,-999.000
150.48698679,45.36885912,-999.000
150.15437958,44.44829802,-999.000
150.15623793,44.44643110,-999.000
150.15614675,44.44472740,-999.000
150.15706285,44.44413960,-999.000
