RA,DEC,dis,RA_NEOWISE,DEC_NEOWISE,w1mpro,w1sigmpro,w2mpro,w2sigmpro,ph_qual,separation,match_arcsec,opt_index,opt_ra,opt_dec,opt_source_file,tile_id
107.324246,21.1302899,265944.99754769,107.3245356,21.1304623,16.102,0.276,14.732,,BU,1.1536352335241469,1.1916000565821678,129809,107.32426692074274,21.13024607399207,data/tiles/tile-RA107.154-DEC+21.140/catalogs/sextractor_pass2.csv,tile-RA107.154-DEC+21.140
149.3662636,30.068851,150736.29121999,149.3663283,30.06916,16.239,,14.526,0.285,UB,1.1305157805216657,1.2351874027876386,74178,149.36629111208146,30.06881840478211,data/tiles/tile-RA149.494-DEC+29.966/catalogs/sextractor_pass2.csv,tile-RA149.494-DEC+29.966
131.7974171,43.6704171,220239.77558828,131.7969496,43.670176,16.313,0.401,14.917,,CU,1.4950956574615346,1.704737328738977,162200,131.79745025767969,43.670481114680776,data/tiles/tile-RA131.471-DEC+43.572/catalogs/sextractor_pass2.csv,tile-RA131.471-DEC+43.572
124.4834763,43.7864654,237149.59946551,124.4835902,43.7861909,17.124,,13.817,0.375,UC,1.031584247785114,1.4557181873631346,64784,124.48361090906388,43.78659499124928,data/tiles/tile-RA124.577-DEC+43.797/catalogs/sextractor_pass2.csv,tile-RA124.577-DEC+43.797
166.2677231,54.9886562,202061.00382393,166.2674216,54.988283,14.317,0.15,15.42,,BU,1.4808273284202296,1.6180900502193687,146680,166.26770791274228,54.98870137551239,data/tiles/tile-RA166.175-DEC+54.793/catalogs/sextractor_pass2.csv,tile-RA166.175-DEC+54.793
161.4275534,8.9201566,73926.677762565,161.4279667,8.9203666,16.048,0.223,15.054,,BU,1.6529052154940604,1.417792547626861,10132,161.42762875380998,8.920157695225733,data/tiles/tile-RA161.570-DEC+9.094/catalogs/sextractor_pass2.csv,tile-RA161.570-DEC+9.094
284.5344436,37.1618765,365532.97423213,284.534892,37.1618757,16.328,,14.879,0.335,UB,1.286442791091687,0.0917968276829362,178651,284.53486024462853,37.16187257008078,data/tiles/tile-RA284.614-DEC+37.190/catalogs/sextractor_pass2.csv,tile-RA284.614-DEC+37.190
124.8917598,43.7485782,236133.33250935,124.8918929,43.7490526,15.879,0.295,14.782,,BU,1.7425632677914245,1.1098025994796477,64827,124.89182388311217,43.748748379009065,data/tiles/tile-RA124.577-DEC+43.797/catalogs/sextractor_pass2.csv,tile-RA124.577-DEC+43.797
264.7370534,27.3754903,307180.19720857,264.736585,27.3756805,15.64,0.345,14.82,,BU,1.6465264283979233,1.7010509680684922,113184,264.7366594461691,27.375212632642377,data/tiles/tile-RA264.773-DEC+27.358/catalogs/sextractor_pass2.csv,tile-RA264.773-DEC+27.358
232.988043,55.6222674,252463.71226575,232.9881623,55.6222245,17.075,,14.185,0.307,UB,0.2875067090604057,1.0970115752937044,87398,232.98859985179612,55.62240287733091,data/tiles/tile-RA232.608-DEC+55.838/catalogs/sextractor_pass2.csv,tile-RA232.608-DEC+55.838
171.0118781,51.7275003,188209.74627609,171.0124344,51.7277775,16.58,0.395,14.814,0.359,CC,1.5920387130085083,1.7090598168800124,30497,171.0119122333207,51.72742998114814,data/tiles/tile-RA171.266-DEC+51.546/catalogs/sextractor_pass2.csv,tile-RA171.266-DEC+51.546
268.7145545,66.0952853,322124.94860001,268.7146515,66.0952068,15.99,0.187,15.117,0.393,BC,0.3160467631264812,0.1657172667990719,144071,268.7147631007056,66.09521536918578,data/tiles/tile-RA269.045-DEC+66.329/catalogs/sextractor_pass2.csv,tile-RA269.045-DEC+66.329
159.4362788,62.3435311,231266.08482431,159.4362824,62.3438597,16.197,0.312,15.196,,BU,1.1829752951935126,1.328222705350485,131735,159.4363686475089,62.34349292756349,data/tiles/tile-RA159.169-DEC+62.265/catalogs/sextractor_pass2.csv,tile-RA159.169-DEC+62.265
137.7008365,38.6036479,196880.18759252,137.7007656,38.6034229,15.662,0.241,15.439,,BU,0.8341980996348087,0.534909787206295,132231,137.7008325853697,38.60328384580669,data/tiles/tile-RA138.018-DEC+38.598/catalogs/sextractor_pass2.csv,tile-RA138.018-DEC+38.598
122.3168001,32.7515589,227812.4071318,122.3167,32.75183,15.986,0.252,14.786,,BU,1.0219344327962832,1.4628715413326672,60919,122.3166467769353,32.75142612002267,data/tiles/tile-RA122.319-DEC+32.638/catalogs/sextractor_pass2.csv,tile-RA122.319-DEC+32.638
