row_id,NUMBER,tile_id,plate_id,date_obs_iso,has_vosa_like_match,is_supercosmos_artifact,ptf_match_ngood,is_known_variable_or_transient,skybot_strict,skybot_wide,RA,Dec
tile-RA288.276-DEC-20.944:6849,6849,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.33203125,-20.741226196289062
tile-RA288.276-DEC-20.944:6862,6862,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.3018798828125,-20.742448806762695
tile-RA288.276-DEC-20.944:6918,6918,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.364013671875,-20.73954200744629
tile-RA288.276-DEC-20.944:6946,6946,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.2898254394531,-20.747562408447266
tile-RA288.276-DEC-20.944:7026,7026,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.2801208496094,-20.756057739257812
tile-RA288.276-DEC-20.944:7314,7314,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.3299255371094,-20.77397346496582
tile-RA288.276-DEC-20.944:7650,7650,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.0912170410156,-20.789709091186523
tile-RA288.276-DEC-20.944:7808,7808,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.30950927734375,-20.7943058013916
tile-RA288.276-DEC-20.944:7839,7839,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.3696594238281,-20.795284271240234
tile-RA288.276-DEC-20.944:8226,8226,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.20001220703125,-20.81989288330078
tile-RA288.276-DEC-20.944:8349,8349,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.3273620605469,-20.828094482421875
tile-RA288.276-DEC-20.944:8350,8350,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.261962890625,-20.828983306884766
tile-RA288.276-DEC-20.944:8376,8376,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.25146484375,-20.829669952392578
tile-RA288.276-DEC-20.944:8445,8445,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.2747802734375,-20.83431625366211
tile-RA288.276-DEC-20.944:8469,8469,tile-RA288.276-DEC-20.944,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.3496398925781,-20.83763885498047
tile-RA287.932-DEC-25.519:7498,7498,tile-RA287.932-DEC-25.519,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,287.9179382324219,-25.363731384277344
tile-RA287.932-DEC-25.519:5959,5959,tile-RA287.932-DEC-25.519,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.1997375488281,-25.45454978942871
tile-RA287.932-DEC-25.519:6805,6805,tile-RA287.932-DEC-25.519,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.0402526855469,-25.323488235473633
tile-RA287.932-DEC-25.519:6942,6942,tile-RA287.932-DEC-25.519,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.0669860839844,-25.332258224487305
tile-RA287.932-DEC-25.519:7045,7045,tile-RA287.932-DEC-25.519,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,287.7666320800781,-25.336423873901367
tile-RA287.932-DEC-25.519:7251,7251,tile-RA287.932-DEC-25.519,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,287.7190246582031,-25.351119995117188
tile-RA287.932-DEC-25.519:7357,7357,tile-RA287.932-DEC-25.519,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,287.7310485839844,-25.356916427612305
tile-RA287.932-DEC-25.519:7395,7395,tile-RA287.932-DEC-25.519,XE869,1954-07-30T06:15:00,False,False,False,False,False,False,288.0193786621094,-25.353071212768555
tile-RA281.373-DEC-28.688:8221,8221,tile-RA281.373-DEC-28.688,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,281.1924743652344,-28.572052001953125
tile-RA281.373-DEC-28.688:8230,8230,tile-RA281.373-DEC-28.688,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,281.4168701171875,-28.571598052978516
tile-RA281.373-DEC-28.688:8384,8384,tile-RA281.373-DEC-28.688,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,281.3562927246094,-28.583433151245117
tile-RA281.373-DEC-28.688:6835,6835,tile-RA281.373-DEC-28.688,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,281.1985168457031,-28.48769187927246
tile-RA281.373-DEC-28.688:7429,7429,tile-RA281.373-DEC-28.688,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,281.3192138671875,-28.52650260925293
tile-RA272.218-DEC-22.978:8040,8040,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.2656555175781,-22.859905242919922
tile-RA272.218-DEC-22.978:8070,8070,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.2433776855469,-22.861682891845703
tile-RA272.218-DEC-22.978:8085,8085,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.37188720703125,-22.863916397094727
tile-RA272.218-DEC-22.978:8107,8107,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.0816345214844,-22.86185073852539
tile-RA255.978-DEC-25.123:7161,7161,tile-RA255.978-DEC-25.123,XE864,1952-08-22T05:53:00,False,False,False,False,False,False,255.83619689941406,-24.937570571899414
tile-RA283.246-DEC-30.778:7690,7690,tile-RA283.246-DEC-30.778,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,283.06976318359375,-30.615013122558594
tile-RA283.246-DEC-30.778:7714,7714,tile-RA283.246-DEC-30.778,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,283.42108154296875,-30.61036491394043
tile-RA283.246-DEC-30.778:7936,7936,tile-RA283.246-DEC-30.778,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,283.0614013671875,-30.623184204101562
tile-RA283.246-DEC-30.778:8170,8170,tile-RA283.246-DEC-30.778,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,282.9707336425781,-30.639652252197266
tile-RA283.246-DEC-30.778:8512,8512,tile-RA283.246-DEC-30.778,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,283.4967956542969,-30.640520095825195
tile-RA283.246-DEC-30.778:8727,8727,tile-RA283.246-DEC-30.778,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,283.5333251953125,-30.655912399291992
tile-RA283.246-DEC-30.778:8738,8738,tile-RA283.246-DEC-30.778,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,283.318603515625,-30.660757064819336
tile-RA283.246-DEC-30.778:9052,9052,tile-RA283.246-DEC-30.778,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,282.98284912109375,-30.645814895629883
tile-RA283.246-DEC-30.778:9209,9209,tile-RA283.246-DEC-30.778,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,283.36102294921875,-30.537715911865234
tile-RA283.246-DEC-30.778:9258,9258,tile-RA283.246-DEC-30.778,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,283.36407470703125,-30.536540985107422
tile-RA283.246-DEC-30.778:9428,9428,tile-RA283.246-DEC-30.778,XE924,1954-08-28T04:28:00,False,False,False,False,False,False,283.3670654296875,-30.546539306640625
tile-RA272.218-DEC-22.978:7014,7014,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.06219482421875,-22.79119300842285
tile-RA272.218-DEC-22.978:7022,7022,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.3088684082031,-22.797327041625977
tile-RA272.218-DEC-22.978:7207,7207,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.45379638671875,-22.808507919311523
tile-RA272.218-DEC-22.978:7332,7332,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,271.96356201171875,-22.81551170349121
tile-RA272.218-DEC-22.978:7490,7490,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.324462890625,-22.824970245361328
tile-RA272.218-DEC-22.978:7552,7552,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.04241943359375,-22.824466705322266
tile-RA272.218-DEC-22.978:7725,7725,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.0213928222656,-22.831066131591797
tile-RA272.218-DEC-22.978:7772,7772,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,271.9822998046875,-22.839149475097656
tile-RA272.218-DEC-22.978:7899,7899,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.0594482421875,-22.85025405883789
tile-RA272.218-DEC-22.978:7946,7946,tile-RA272.218-DEC-22.978,XE867,1951-08-25T04:10:00,False,False,False,False,False,False,272.0503234863281,-22.85137176513672
tile-RA113.104-DEC-26.810:7147,7147,tile-RA113.104-DEC-26.810,XE842,1953-01-20T07:33:00,False,False,False,False,False,False,113.00963592529297,-26.63102912902832
tile-RA113.104-DEC-26.810:7210,7210,tile-RA113.104-DEC-26.810,XE842,1953-01-20T07:33:00,False,False,False,False,False,False,113.02410125732422,-26.6352481842041
tile-RA113.104-DEC-26.810:7228,7228,tile-RA113.104-DEC-26.810,XE842,1953-01-20T07:33:00,False,False,False,False,False,False,112.97384643554688,-26.636333465576172
tile-RA113.104-DEC-26.810:7363,7363,tile-RA113.104-DEC-26.810,XE842,1953-01-20T07:33:00,False,False,False,False,False,False,112.86499786376953,-26.645122528076172
tile-RA113.104-DEC-26.810:7422,7422,tile-RA113.104-DEC-26.810,XE842,1953-01-20T07:33:00,False,False,False,False,False,False,113.01486206054688,-26.648109436035156
tile-RA113.104-DEC-26.810:7443,7443,tile-RA113.104-DEC-26.810,XE842,1953-01-20T07:33:00,False,False,False,False,False,False,112.98528289794922,-26.647052764892578
tile-RA282.069-DEC-26.346:8230,8230,tile-RA282.069-DEC-26.346,XE868,1950-07-12T08:02:00,False,False,False,False,False,False,282.2578430175781,-26.212724685668945
